Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-05-05 07:07:24,false,"Running","10.01","797","01:03:02","155","174","4.2","154","158","6:18","5:35","63","67","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:02.14","11","31.0","01:02:57","01:03:02","37","70"
Running,2023-05-04 06:58:10,false,"Running","7.51","566","00:45:39","150","163","3.7","163","172","6:05","4:55","29","38","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","02:42.49","8","26.0","00:45:38","00:45:39","67","74"
Running,2023-05-02 21:30:31,false,"Distance Interva","12.44","899","01:16:44","148","177","3.9","157","178","6:10","4:18","55","68","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:01.64","19","28.0","01:16:37","01:16:44","61","76"
Running,2023-04-28 15:43:02,false,"Running","10.01","781","01:00:24","158","179","4.8","154","160","6:02","5:01","68","70","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:03.69","11","29.0","01:00:20","01:00:24","40","72"
Running,2023-04-27 07:39:54,false,"Distance Interva","13.64","1,064","01:27:47","155","177","4.3","159","183","6:26","4:50","69","70","0.98","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:01.56","25","27.0","01:27:40","01:27:47","68","76"
Running,2023-04-25 17:30:37,false,"Running","6.01","375","00:35:21","134","162","3.0","159","173","5:53","4:58","39","40","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:02.56","7","30.0","00:35:18","00:35:21","43","71"
Running,2023-04-21 15:00:08,false,"Running","13.01","809","01:21:25","133","147","2.7","153","158","6:16","4:58","94","95","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:02.36","14","30.0","01:21:21","01:21:25","17","47"
Running,2023-04-19 21:24:03,false,"Distance Interva","12.85","949","01:22:01","148","168","3.9","154","230","6:23","4:45","64","52","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:02.73","25","29.0","01:21:55","01:22:01","65","79"
Running,2023-04-14 16:31:11,false,"Running","7.01","359","00:40:40","122","135","2.0","155","160","5:48","4:57","46","44","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:03.59","8","29.0","00:40:39","00:40:40","70","99"
Running,2023-04-13 18:52:22,false,"Running","6.01","393","00:36:40","134","146","2.8","153","158","6:06","5:29","40","53","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:03.60","7","29.0","00:36:37","00:36:40","40","73"
